Directorio	Secuencia_p	Orden	Hogar	Regis	Area	P6440	P6450	P6460	P6460s1	P6400	P6422	P6424s2	P6424s3	P6424s1	P6426	P6430s1	P6480	P6480s1	P6500	P6510	P6510s1	P6510s2	P6590	P6590s1	P6600	P6600s1	P6610	P6610s1	P6620	P6620s1	P6585s2a1	P6585s3a1	P6585s4a1	P6585s3a2	P6585s2a2	P6585s1a2	P6585s2	P6585s3	P6585s1a1	P6585s4	P6585s1	P6580	P6580s1	P6580s2	P6630s3	P6630s4a1	P6630s3a1	P6630s2a1	P6630s1a1	P6630s4	P6630s2	P6630s1	P6640	P6765	P6765s1	P6772	P6750	P6760	P550	P6780	P6780s1	P6790	P6410	P6640s1	P9440	P6630s6	P6630s6a1	P6410s1	P6545s1	P6545	P6545s2	P6585s4a2	P6773s1	P6775	P6772s1	P388	P6800	P6810	P6810s1	P6850	P6830	P6830s1	P6870	P6880	P6880s1	P6920	P6930	P6940	P6960	P6980	P6980s1	P6980s2	P6980s3	P6980s4	P6980s5	P6980s6	P6980s7	P6980s8	P6980s7a1	P6990	P7020	P7026	P7028	P7028s1	P7040	P7045	P7050	P7050s1	P7070	P760	P9450	P6915s1	P6915	P7075	P7077	P390	P7090	P7100	P7110	P7120	P7130	P7140	P7140s1	P7140s2	P7140s3	P7140s4	P7140s5	P7140s6	P7140s7	P7140s8	P7140s9	P7140s9a1	P7150	P7160	P7170s1	P7170s5	P7170s6	P7180	P7240	P7240s1	P514	P515	Oficio	Rama2d	Oci	P6430	Rama4d	Rama4dp8	Rama2dp8	Inglabo	Mes	Dpto	Fex_c_2011
3905890	1	1	1	60	17	2									60																																							6			650000	1		3		12												2		17	42		.	42			2	6		2				1								1		2	1	72	1		2					0	2		2				1	30	2	1	2														1	1	1	2	8		1	1	41	55	1	4	5529			650000	01	17	188.873926157834
3905890	1	2	1	60	17	2									48																																								.						.	12														17	6	2		6			2	1		2				1								1		2	1	168	1		2					0	2		2				2				2														1	2	1	2	3		1	1	53	55	1	6	5529				01	17	188.873926157834
3905890	1	3	1	60	17	2									4																																								.						.	12														17	24	1		24			2	6		2				1								1		2	1	12	1		2					0	2		11				1	48	1	1	1	1	1	1	2	1	2	1	2	1	2		1	1	1	1	1	2	3		1	1	45	55	1	6	5529				01	17	188.873926157834
3905891	1	1	1	60	17	2									72																																							6			30000	1		3		12												2		17	5	2		0	6		1	1		3														2	1	240	2		2					96	2		1				2				1	1	1	1	2	1	2	1	2	2	2		2	1	1	2	1	2	10	DE LA PENSION	2	1	79	18	1	4	1810			30000	01	17	189.512382314498
3905891	1	2	1	60	17	1	2	1		1	1	2	1	1	9		1		1500000	1	500000	2	2		2		2		2			25000		2			2	1		2	2	1	400000	2	2	8000000				1	2	2	2		.						.	12			2	2				2						17	72		.	72			2	4		1	2	1	20	1	1									1	1	4	1		2					0	1		1				2				1	1	1	1	1	2	2	1	1	1	2		2	9	1	1	2	2	8		1	1	98	60	1	1	6042			1500000	01	17	189.512382314498
3905892	1	1	1	60	17	1	2	2	12	1	1	2	1	1	96		1		1500000	2			2		2		2		2								2	2		2	2	2			2				1500000	2	2	1	2		.						.	12			2	2				2						17	40		.	0	3		9	7		1	1	1	8	1	1		1							1	1	96	4		1	2	4		1000000	0	1		1	2	7	17	2				2														1	1	1	2	10	DEL SEGUNDO EMPLEO	1	1	13	80	1	1	8050			2500000	01	17	196.832960547116
3905893	1	1	1	60	17	1	2	1		1	1	1	1	1	156		2		1800000	2			2		2		2		2								2	2		2	2	1	300000	2	1		900000	1800000	1800000	2	1	1	2		.						.	12			2	2				2						17	40		.	0	3		9	7		1	1	1	15	1	1									1	1	24	1		1	6	4		0	2	1		1	1	1	17	2				2														1	1	1	2	3		1	1	21	65	1	1	6512			1800000	01	17	216.255949596019
3905894	1	1	1	60	17	1	2	1		1	1	1	1	1	468		5		9100000	2			2		2		2		2								2	2		2	2	2			1		7000000	11550000	11550000	2	1	1	2		.						.	12			2	2				2						17	40		.	0	3		9	7		1	2	1	40	1	1									1	1	6	1		1	0	4		7000000	0	1		1	4	7	17	2				2														1	1	1	2	2		1	1	13	80	1	2	8050			16100000	01	17	134.222090167102
3905894	1	3	1	60	17	2									6																																								.						.	6														17	42		.	48			6	5		2				1								1		2	1	5	4		2					12	2		3				1	40	1	1	1	1	1	1	1	1	2	2	1	2	2		1	1	2	2	2	2	3		1	1	45	55	1	7	5529				01	17	134.222090167102
3905896	1	1	1	60	17	1	2	1		1	1	2	1	1	9		4		3000000	2			2		2		2		2								2	2		2	2	2			2				1250000	2	2	1	2		.						.	9			1	2				2						17	48		.	48			9	7		1	2	1	22	1	1									1	1	18	1		2					6	1		1				2				2														1	1	1	2	8		1	1	11	28	1	1	2899			3000000	01	17	156.677950478752
3905897	1	1	1	60	17	2									60																																							7		2		1		3		12												2		17	66		.	77			1	7		3														2	1	348	1		2					0	2		1				2				2														1	2	1	2	10	DE LA PENSION	1	1	81	20	1	4	2090				01	17	178.587457481663
3905898	1	1	1	60	17	1	2	1		1	1	2	1	2	216		1		1900000	2			2		2		2		2			25000		2			2	1		2	2	2			2				1900000	2	2	1	2		.						.	12			2	2				2						17	48		.	48			9	7		1	2	1	23	1	1			1						1	1	48	1		2					0	1		1				2				2														1	1	1	2	2		1	1	21	60	1	1	6042			1900000	01	17	157.46192530698
3905899	1	1	1	60	17	2									312																																							6			750000	1		3		12												2		17	60		.	60			1	5		1	2	2	18	1	1									2	1	24	1		2					8	2		1				2				2														1	1	1	2	5		1	1	41	52	1	4	5244			750000	01	17	186.632353205268
3905900	1	2	1	60	17	1	2	1		1	1	1	1	1	6		5		2800000	2			2		2		1	288000	2								2	2		2	2	2			2	2000000		2800000	2800000	1	1	1	2		.						.	12			2	2				2						17	45		.	27	7	FERIAS	9	7		1	1	1	3	1	1		1							1	1	24	1		2					0	1		1				2				2														1	1	1	1	3		1	1	02	40	1	1	4010			2800000	01	17	148.107122971363
3905903	1	1	1	60	17	2									180																																							7		1	600000	1		3		1											2015	1	1	17	24	2		24			2	7		1	2	2	12	1	1									2	1	180	1		2					0	2		1				2				2														1	1	1	2	8		1	1	53	55	1	4	5529			600000	01	17	164.702424677401
3905903	1	2	1	60	17	2									180																																								.						.	12														17	24	2		24			2	7		2				1								1		2	1	180	1		2					98	2		3				2				2														1	1	1	2	3		1	1	53	15	1	6	1530				01	17	164.702424677401
3905904	1	1	1	60	17	2									36																																							7		1	600000	1		3		12											2015	2	1	17	100		.	100			2	7		2				1								1		2	1	42	1		2					6	2		2				2				2														1	1	1	2	8		1	1	51	55	1	4	5522			600000	01	17	211.649659691932
3905904	1	2	1	60	17	2									36																																								.						.	12														17	40		.	40			2	7		2				1								1		2	1	72	1		2					0	2		2				2				1	1	1	1	2	2	2	2	2	2	2		2	1	1	2	1	2	3		1	1	53	55	1	6	5522				01	17	211.649659691932
3905905	1	1	1	60	17	1	1			1	1	2	2	2	24		1		620000	2			2		2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						17	50		.	50			3	4		2				1								1		2	2				2						2		3				2				2														1	1	1	2	3		1	1	97	55	1	1	5529			620000	01	17	195.262838049898
3905906	1	1	1	60	17	1	2	1		1	1	1	1	1	456		6		2450000	1	500000	2	2		2		2		2								2	2		2	2	2			2			2450000	2450000	2	1	1	1									12		10	2	2				2						17	48		.	58			9	7		1	1	1	38	1	1									1	2				2						1		1				2				2														1	1	1	2	5		1	1	03	28	1	1	2893			2450000	01	17	133.438115338874
3905907	1	1	1	60	17	1	1			1	1	2	2	2	18																																							6			450000	1		3		12												2		17	48		.	48			1	4		3														2	1	156	1		2					0	2		1				2				2														1	1	1	2	10	PENSION	1	1	98	60	1	4	6031			450000	01	17	164.702424677401
3905909	1	1	1	60	17	2									120																																							6			600000	1		3		6												2		17	24	1		0	6		1	5		3														2	1	3	1		2					0	2		1				1	4	2	1	1	1	1	1	2	2	2	2	2	2	2		2	1	1	2	1	2	10	PENSION	2	1	59	93	1	4	9309			600000	01	17	156.597871616555
3905909	1	2	1	60	17	1	2	1		1	1	2	2	2	192																																							5			250000	1		3		12												2		17	18	2		18			1	5		2				1								1		2	2				2						2		3				2				2														1	2	1	2	3		1	1	45	52	1	4	5261			250000	01	17	156.597871616555
3905909	1	3	1	60	17	1	1			1	2	2	2	2	18		1		120000	2			1	30000	2		2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						17	16	2		16			9	7		2				1								1		2	1	1	1		2					2	2		3				2				2														1	2	1	2	3		1	1	33	92	1	1	9219			150000	01	17	156.597871616555
3905910	1	2	1	60	17	2									72																																							6			700000	1		3		12												2		17	72		.	0	7	FIESTAS	1	4		1	4	2	12	1	1									2	1	24	1		2					0	2		1				2				2														1	1	1	2	2		2	1	98	60	1	4	6041			700000	01	17	189.512382314498
3905911	1	1	1	60	17	1	2	2	4	1	2	2	1	1	48		2		2000000	2			2		2		2		2			50000		2			2	1		2	2	2			2				2000000	2	2	1	2		.						.	12			2	2				2						17	48		.	48			9	7		1	2	1	9	1	1									1	1	60	1		2					4	1		1				2				1	1	2	1	2	2	2	2	2	2	2		1	1	2	2	1	2	5		2	1	02	28	1	1	2899			2000000	01	17	261.552983251134
