Seq,ISO3,ISO2,WBREG
44,CHN,CN,CHN
82,FJI,FJ,EAP
107,IDN,ID,EAP
123,KHM,KH,EAP
130,LAO,LA,EAP
163,MMR,MM,EAP
166,MNG,MN,EAP
172,MYS,MY,EAP
192,PHL,PH,EAP
194,PNG,PG,EAP
236,THA,TH,EAP
256,VNM,VN,EAP
5,ALB,AL,ECA
11,ARM,AM,ECA
16,AZE,AZ,ECA
22,BGR,BG,ECA
25,BIH,BA,ECA
26,BLR,BY,ECA
88,GEO,GE,ECA
120,KAZ,KZ,ECA
122,KGZ,KG,ECA
152,MDA,MD,ECA
160,MKD,MK,ECA
165,MNE,ME,ECA
204,ROU,RO,ECA
218,SRB,RS,ECA
237,TJK,TJ,ECA
238,TKM,TM,ECA
243,TUR,TR,ECA
248,UKR,UA,ECA
252,UZB,UZ,ECA
9,ARE,AE,HIC
10,ARG,AR,HIC
14,AUS,AU,HIC
15,AUT,AT,HIC
18,BEL,BE,HIC
23,BHR,BH,HIC
37,CAN,CA,HIC
41,CHE,CH,HIC
43,CHL,CL,HIC
60,CYP,CY,HIC
61,CZE,CZ,HIC
62,DEU,DE,HIC
65,DNK,DK,HIC
76,ESP,ES,HIC
77,EST,EE,HIC
81,FIN,FI,HIC
83,FRA,FR,HIC
87,GBR,GB,HIC
93,GNQ,GQ,HIC
94,GRC,GR,HIC
96,GRL,GL,HIC
101,HKG,HK,HIC
104,HRV,HR,HIC
106,HUN,HU,HIC
111,IRL,IE,HIC
114,ISL,IS,HIC
115,ISR,IL,HIC
116,ITA,IT,HIC
119,JPN,JP,HIC
126,KOR,KR,HIC
128,KWT,KW,HIC
139,LIE,LI,HIC
144,LTU,LT,HIC
145,LUX,LU,HIC
146,LVA,LV,HIC
147,MAC,MO,HIC
162,MLT,MT,HIC
180,NLD,NL,HIC
182,NOR,NO,HIC
184,NZL,NZ,HIC
187,OMN,OM,HIC
195,POL,PL,HIC
198,PRT,PT,HIC
203,QAT,QA,HIC
205,RUS,RU,HIC
208,SAU,SA,HIC
212,SGP,SG,HIC
225,SVK,SK,HIC
226,SVN,SI,HIC
227,SWE,SE,HIC
241,TTO,TT,HIC
250,URY,UY,HIC
251,USA,US,HIC
254,VEN,VE,HIC
27,BLZ,BZ,LAC
29,BOL,BO,LAC
30,BRA,BR,LAC
51,COL,CO,LAC
54,CRI,CR,LAC
57,CUB,CU,LAC
64,DMA,DM,LAC
66,DOM,DO,LAC
72,ECU,EC,LAC
95,GRD,GD,LAC
97,GTM,GT,LAC
99,GUY,GY,LAC
102,HND,HN,LAC
105,HTI,HT,LAC
117,JAM,JM,LAC
157,MEX,MX,LAC
179,NIC,NI,LAC
190,PAN,PA,LAC
191,PER,PE,LAC
199,PRY,PY,LAC
215,SLV,SV,LAC
224,SUR,SR,LAC
63,DJI,DJ,MNA
67,DZA,DZ,MNA
73,EGY,EG,MNA
112,IRN,IR,MNA
113,IRQ,IQ,MNA
118,JOR,JO,MNA
131,LBN,LB,MNA
133,LBY,LY,MNA
149,MAR,MA,MNA
232,SYR,SY,MNA
242,TUN,TN,MNA
261,YEM,YE,MNA
2,AFG,AF,SAS
21,BGD,BD,SAS
33,BTN,BT,SAS
109,IND,IN,SAS
140,LKA,LK,SAS
155,MDV,MV,SAS
183,NPL,NP,SAS
189,PAK,PK,SAS
4,AGO,AO,SSA
17,BDI,BI,SSA
19,BEN,BJ,SSA
20,BFA,BF,SSA
34,BWA,BW,SSA
36,CAF,CF,SSA
45,CIV,CI,SSA
48,CMR,CM,SSA
49,COD,CD,SSA
50,COG,CG,SSA
52,COM,KM,SSA
53,CPV,CV,SSA
75,ERI,ER,SSA
78,ETH,ET,SSA
86,GAB,GA,SSA
89,GHA,GH,SSA
90,GIN,GN,SSA
91,GMB,GM,SSA
92,GNB,GW,SSA
121,KEN,KE,SSA
132,LBR,LR,SSA
143,LSO,LS,SSA
154,MDG,MG,SSA
161,MLI,ML,SSA
168,MOZ,MZ,SSA
169,MRT,MR,SSA
170,MUS,MU,SSA
171,MWI,MW,SSA
175,NAM,NA,SSA
177,NER,NE,SSA
178,NGA,NG,SSA
206,RWA,RW,SSA
210,SDN,SD,SSA
211,SEN,SN,SSA
214,SLE,SL,SSA
217,SOM,SO,SSA
220,SSD,SS,SSA
223,STP,ST,SSA
228,SWZ,SZ,SSA
234,TCD,TD,SSA
235,TGO,TG,SSA
246,TZA,TZ,SSA
247,UGA,UG,SSA
262,ZAF,ZA,SSA
263,ZMB,ZM,SSA
264,ZWE,ZW,SSA
