"Term","Count","Box.Office","Critic.Score"
"aaa",1,31,6
"aang",1,131.6,6
"aaron",2,43.1,71.5
"aback",1,25.8,13
"abagnale",1,164.4,96
"abandon",1,23.3,12
"abandoned",10,52.97,53.7
"abandons",3,26.07,68.67
"abba",1,143.7,54
"abbate",1,0.4,50
"abby",1,0.04,74
"abducted",6,76.73,45.5
"abducting",1,0.7,91
"abduction",1,2.6,9
"abductors",1,54.2,24
"abilities",7,75.63,52.86
"ability",6,134.68,56.33
"ablaze",1,0.07,86
"able",3,100.2,84
"abm",1,2.1,0
"aboard",5,53.64,34.6
"abolish",1,7,11
"abortions",1,0.07,94
"abound",2,0.37,60
"abraham",3,89.63,41.67
"abroad",3,5.84,44.67
"absconding",1,193.1,55
"absence",2,100.2,55
"absent",2,0.04,56.5
"absorbs",1,6.8,31
"abu",1,95.3,15
"abundant",1,0.03,53
"abuse",6,6.98,68.67
"abused",3,17.23,72.33
"abusing",1,13.7,11
"abusive",9,12.08,44.67
"academic",3,26.17,27.67
"academy",7,60.89,42
"accept",5,56.52,37.6
"acceptance",1,0,45
"accepted",1,63.9,73
"accepting",1,13,59
"accepts",5,45.96,43
"access",4,21.45,80.25
"accessible",1,23.1,30
"accident",33,41.21,44.06
"accidental",2,0.1,60.5
"accidentally",10,97.3,41.4
"accidently",1,160.8,35
"acclaim",1,0.1,92
"acclaimed",5,4.55,50.8
"accompanied",1,21.6,27
"accompanies",3,39.03,62.67
"accompany",3,65.3,54.67
"accompanying",1,6.6,55
"accomplice",1,0.1,67
"accomplices",1,183.3,82
"accomplish",1,3.4,52
"accomplished",3,59.9,63.33
"according",1,25.9,21
"account",8,24.07,68.5
"accountant",4,8.81,45.5
"acculturation",1,0.7,52
"accumulated",1,37.9,28
"accuracy",1,350.1,73
"accusation",1,33.3,79
"accusations",1,25.5,19
"accused",10,28.99,52.7
"accuses",3,56.39,59
"accusing",1,26.7,43
"ace",1,31.2,27
"achieve",7,24.41,50.71
"achieves",2,14.55,52.5
"achieving",2,22.35,63.5
"acquaintance",1,132.6,69
"acquainted",1,51.5,62
"acquire",2,37.85,75
"acquittal",1,0.08,50
"acre",2,20.55,75
"acrimonious",1,153.2,30
"acrobatic",1,102.5,45
"acrobats",1,13.4,45
"across",33,43.31,60.88
"act",17,31.24,57.06
"acting",4,35.23,52.75
"action",28,49.06,49.75
"actions",3,13.63,38.33
"activates",1,36.9,29
"activating",1,42,59
"active",2,55.25,62.5
"activist",9,16.28,68.11
"activists",3,1.23,90.33
"activities",2,24.5,59.5
"activity",3,10.95,11
"actor",26,26.63,53.19
"actors",6,26.34,57.67
"actress",13,11.21,50.23
"acts",2,20.7,9
"actual",2,3.95,77.5
"actually",7,51.27,42.71
"actuary",1,3,83
"ad",6,10.64,76
"adam",5,3.16,52
"adapt",4,54.73,73.75
"adaptation",8,24.71,54.13
"addict",2,61.93,71
"addicted",6,5.98,30.5
"addiction",8,7.55,57.75
"addictions",1,2.5,78
"addicts",1,0.7,40
"addie",1,0.02,41
"adding",2,40.6,58
"addition",1,0.3,21
"additions",1,13.9,18
"addled",2,9.6,89
"address",3,33.58,63
"adele",1,13.4,34
"adenike",2,0.1,93
"adept",1,60,45
"adhering",1,0.1,36
"adjust",2,0.38,57
"adjusting",1,0.06,8
"adjusts",1,16.7,29
"administration",3,53.9,81.67
"administrator",1,87.3,85
"admiral",1,53.4,6
"admiration",1,0.05,77
"admires",1,0.03,37
"admissions",1,18,38
"admit",1,89.6,38
"admonished",1,0.1,36
"ado",1,13.7,95
"adolescence",1,0,16
"adolescent",5,45.18,38.8
"adopt",6,41.27,56.83
"adopted",7,32.7,40
"adoption",3,35.1,48.67
"adoptive",2,12.6,48
"adopts",4,36.77,53.5
"adorable",2,75.2,35.5
"adrenaline",1,3.4,6
