Title,Year,Rating,Runtime,Genre,Critic.Score,Box.Office,Awards,International
The Whole Nine Yards,2000,R,98,"Comedy, Crime",45,57.3,FALSE,FALSE
Cirque du Soleil: Journey of Man,2000,G,39,"Short, Drama, Family",45,13.4,TRUE,FALSE
Gladiator,2000,R,155,"Action, Drama",76,187.3,TRUE,TRUE
Dinosaur,2000,PG,82,"Animation, Adventure, Family",65,135.6,TRUE,FALSE
Big Momma's House,2000,PG-13,99,"Action, Comedy, Crime",30,0.5,TRUE,TRUE
Gone in Sixty Seconds,2000,PG-13,118,"Action, Crime, Thriller",24,101,TRUE,FALSE
Shaft,2000,R,99,"Action, Crime, Thriller",68,70.3,TRUE,TRUE
Chicken Run,2000,G,84,"Animation, Family, Comedy",97,106.6,TRUE,TRUE
"Me, Myself & Irene",2000,R,116,Comedy,48,0.6,TRUE,FALSE
The Patriot,2000,R,165,"Action, Drama, History",62,2.3,TRUE,TRUE
The Adventures of Rocky & Bullwinkle,2000,PG,92,"Animation, Adventure, Comedy",43,0.4,TRUE,TRUE
The Kid,2000,PG,104,"Comedy, Family, Fantasy",49,68.5,TRUE,FALSE
X-Men,2000,PG-13,104,"Action, Adventure, Sci-Fi",82,156.2,TRUE,FALSE
What Lies Beneath,2000,PG-13,130,"Drama, Horror, Mystery",46,155,TRUE,FALSE
Thomas and the Magic Railroad,2000,G,85,"Adventure, Comedy, Drama",19,2,FALSE,TRUE
Nutty Professor II: The Klumps,2000,PG-13,106,"Comedy, Fantasy, Romance",26,122.4,TRUE,FALSE
Coyote Ugly,2000,PG-13,100,"Comedy, Drama, Music",22,59.8,TRUE,FALSE
Hollow Man,2000,R,112,"Sci-Fi, Thriller",27,72.1,TRUE,TRUE
Space Cowboys,2000,PG-13,130,"Action, Adventure, Thriller",78,89.4,TRUE,TRUE
The Replacements,2000,PG-13,118,"Comedy, Sport",40,44,FALSE,FALSE
Bless the Child,2000,R,107,"Crime, Drama, Horror",3,28.1,TRUE,TRUE
The Cell,2000,R,107,"Sci-Fi, Thriller",45,60,TRUE,TRUE
The Original Kings of Comedy,2000,R,115,"Comedy, Documentary",86,37.7,TRUE,FALSE
The Art of War,2000,R,117,"Action, Adventure, Crime",16,29.5,TRUE,TRUE
The Crew,2000,PG-13,88,"Crime, Comedy",20,12.5,TRUE,FALSE
Bring It On,2000,PG-13,98,"Comedy, Sport",63,67.9,TRUE,FALSE
The Tao of Steve,2000,R,87,"Comedy, Drama, Romance",80,2.6,TRUE,FALSE
Whipped,2000,R,82,"Comedy, Romance",13,3.8,FALSE,FALSE
Turn It Up,2000,R,86,"Crime, Drama, Action",8,0.7,FALSE,FALSE
Backstage,2000,R,86,Documentary,31,0.7,FALSE,FALSE
The Watcher,2000,R,97,"Crime, Horror, Mystery",10,28.6,FALSE,FALSE
Nurse Betty,2000,R,110,"Comedy, Crime, Drama",84,25,TRUE,TRUE
The Way of the Gun,2000,R,119,"Action, Crime, Drama",48,5.2,FALSE,FALSE
Bait,2000,R,119,"Action, Crime, Thriller",26,14.9,FALSE,TRUE
Duets,2000,R,112,"Comedy, Drama, Music",20,4.3,FALSE,FALSE
Almost Famous,2000,R,122,"Drama, Music, Romance",88,31.7,TRUE,FALSE
Urban Legends: Final Cut,2000,R,97,"Horror, Mystery, Thriller",9,21,TRUE,TRUE
Woman on Top,2000,R,92,"Comedy, Fantasy, Romance",34,4.5,FALSE,FALSE
Beautiful,2000,PG-13,112,"Drama, Comedy",16,2.8,FALSE,FALSE
Remember the Titans,2000,PG,113,"Biography, Drama, Sport",73,114.3,TRUE,FALSE
Girlfight,2000,R,110,"Drama, Sport",87,0.8,TRUE,FALSE
Dancer in the Dark,2000,R,140,"Crime, Drama, Musical",68,2.8,TRUE,TRUE
Digimon: The Movie,2000,PG,82,"Animation, Action, Adventure",25,9,FALSE,TRUE
Get Carter,2000,R,102,"Action, Crime, Drama",12,14.6,FALSE,FALSE
Meet the Parents,2000,PG-13,108,Comedy,84,164.5,TRUE,FALSE
Lost Souls,2000,R,97,"Drama, Horror, Thriller",7,16.4,FALSE,FALSE
Dr. T and the Women,2000,R,122,"Comedy, Drama, Romance",57,12.1,FALSE,TRUE
The Contender,2000,R,126,"Drama, Thriller",76,16.1,TRUE,TRUE
The Ladies Man,2000,R,84,Comedy,11,13.4,FALSE,FALSE
Bamboozled,2000,R,135,"Comedy, Drama, Music",48,1.9,TRUE,FALSE
Bedazzled,2000,PG-13,93,"Comedy, Fantasy, Romance",49,37,TRUE,TRUE
Best in Show,2000,PG-13,90,Comedy,95,16.6,TRUE,FALSE
Pay It Forward,2000,PG-13,123,Drama,40,32.8,TRUE,FALSE
The Little Vampire,2000,PG,95,"Adventure, Comedy, Family",55,13.4,TRUE,TRUE
Lucky Numbers,2000,R,105,"Comedy, Crime",22,9.5,TRUE,TRUE
Charlie's Angels,2000,PG-13,98,"Action, Adventure, Comedy",67,124.4,TRUE,TRUE
The Legend of Bagger Vance,2000,PG-13,126,"Drama, Fantasy, Sport",43,30.4,TRUE,FALSE
Red Planet,2000,PG-13,106,"Action, Sci-Fi, Thriller",14,17.1,FALSE,TRUE
Men of Honor,2000,R,129,"Biography, Drama",41,46.2,FALSE,FALSE
Little Nicky,2000,PG-13,90,"Comedy, Fantasy",22,38.5,FALSE,FALSE
How the Grinch Stole Christmas,2000,PG,104,"Comedy, Family, Fantasy",53,259,TRUE,TRUE
The 6th Day,2000,PG-13,123,"Action, Sci-Fi, Thriller",41,33.8,FALSE,FALSE
102 Dalmatians,2000,G,100,"Adventure, Comedy, Family",31,65.4,TRUE,TRUE
What's Cooking?,2000,PG-13,109,"Drama, Comedy",52,0.7,TRUE,TRUE
Vertical Limit,2000,PG-13,124,"Action, Adventure, Drama",48,67.8,TRUE,TRUE
Dungeons & Dragons,2000,PG-13,107,"Action, Adventure, Comedy",10,14.8,FALSE,TRUE
Proof of Life,2000,R,135,"Action, Drama, Thriller",40,31.2,FALSE,FALSE
The Emperor's New Groove,2000,G,78,"Animation, Adventure, Comedy",85,87.3,TRUE,FALSE
What Women Want,2000,PG-13,127,"Comedy, Fantasy, Romance",54,181.5,TRUE,FALSE
Requiem for a Dream,2000,R,102,Drama,78,2.5,TRUE,FALSE
"Dude, Where's My Car?",2000,PG-13,83,Comedy,18,45,FALSE,FALSE
Miss Congeniality,2000,PG-13,109,"Action, Comedy, Crime",42,105.5,TRUE,TRUE
The Family Man,2000,PG-13,125,"Comedy, Drama, Fantasy",53,73.7,TRUE,FALSE
You Can Count on Me,2000,R,111,Drama,95,8.4,TRUE,FALSE
Quills,2000,R,124,"Biography, Drama",75,4.3,TRUE,TRUE
All the Pretty Horses,2000,PG-13,116,"Drama, Romance, Western",32,14.7,TRUE,FALSE
Traffic,2000,R,147,"Crime, Drama, Thriller",92,123.8,TRUE,TRUE
State and Main,2000,R,105,"Comedy, Drama",86,5.8,TRUE,TRUE
"Crouching Tiger, Hidden Dragon",2000,PG-13,120,"Action, Drama, Romance",97,127.7,TRUE,TRUE
Finding Forrester,2000,PG-13,136,Drama,74,51.4,TRUE,FALSE
Thirteen Days,2000,PG-13,145,"Drama, History, Thriller",83,33.1,TRUE,FALSE
The Gift,2000,R,111,"Drama, Horror, Mystery",57,11.2,FALSE,FALSE
Chocolat,2000,PG-13,121,"Drama, Romance",63,71.3,TRUE,TRUE
Snatch.,2000,R,102,"Comedy, Crime",73,30.1,TRUE,TRUE
Shadow of the Vampire,2000,R,92,"Drama, Horror",81,7.5,TRUE,TRUE
"O Brother, Where Art Thou?",2000,PG-13,106,"Adventure, Comedy, Crime",77,45.2,TRUE,TRUE
Before Night Falls,2000,R,133,"Biography, Drama",73,2.8,TRUE,FALSE
An Everlasting Piece,2000,R,103,Comedy,48,0.0091,FALSE,FALSE
Pollock,2000,R,122,"Biography, Drama",81,7.3,TRUE,FALSE
Memento,2000,R,113,"Mystery, Thriller",92,23.8,TRUE,FALSE
The Golden Bowl,2000,R,130,"Drama, Romance",54,2.2,TRUE,TRUE
Songcatcher,2000,PG-13,109,"Drama, Music",74,1.6,TRUE,FALSE
The Endurance,2000,G,97,"Documentary, History",95,2.1,TRUE,TRUE
Tadpole,2000,PG-13,78,"Comedy, Drama, Romance",78,2.9,TRUE,FALSE
The Debut,2000,R,88,"Comedy, Drama",74,1.5,TRUE,FALSE
Double Take,2001,PG-13,88,"Action, Comedy, Crime",12,28.5,FALSE,FALSE
Antitrust,2001,PG-13,109,"Crime, Drama, Thriller",24,11,TRUE,FALSE
The Pledge,2001,R,124,"Crime, Drama, Mystery",78,18.9,TRUE,FALSE
"Scotland, Pa.",2001,R,104,"Comedy, Crime",59,0.2,FALSE,FALSE
Sugar & Spice,2001,PG-13,81,"Comedy, Crime",28,12.4,FALSE,FALSE
Head Over Heels,2001,PG-13,86,"Comedy, Mystery, Romance",10,9.9,FALSE,FALSE
Valentine,2001,R,96,"Horror, Thriller",8,19.8,TRUE,FALSE
Hannibal,2001,R,131,"Crime, Drama, Thriller",39,163.9,TRUE,TRUE
Saving Silverman,2001,PG-13,90,"Comedy, Crime, Romance",18,19,FALSE,TRUE
Recess: School's Out,2001,G,82,"Animation, Family, Comedy",61,34.8,FALSE,FALSE
Down to Earth,2001,PG-13,87,"Comedy, Fantasy",20,63.1,FALSE,TRUE
Sweet November,2001,PG-13,119,"Drama, Romance",16,24.4,FALSE,FALSE
Haunted Castle,2001,PG,38,"Animation, Short, Horror",25,12.4,FALSE,TRUE
Monkeybone,2001,PG-13,93,"Animation, Comedy, Fantasy",20,4.9,FALSE,FALSE
3000 Miles to Graceland,2001,R,125,"Action, Comedy, Crime",14,15.3,FALSE,FALSE
Carman: The Champion,2001,PG-13,82,"Action, Drama, Sport",11,1.3,FALSE,FALSE
See Spot Run,2001,PG,94,"Action, Comedy, Crime",23,32.5,FALSE,TRUE
The Mexican,2001,R,123,"Adventure, Comedy, Crime",56,66.6,TRUE,FALSE
