A	Coef.BasalvsLP	Coef.BasalvsML	Coef.LPvsML	t.BasalvsLP	t.BasalvsML	t.LPvsML	p.value.BasalvsLP	p.value.BasalvsML	p.value.LPvsML	Res.BasalvsLP	Res.BasalvsML	Res.LPvsML	Genes.ENTREZID	Genes.SYMBOL	Genes.TXCHROM
-1.78	7.458	6.925	-0.533	12.04	11.88	0	0	0	0.78821	1	1	0	497097	Xkr4	chr1
4.21	0.484	0.038	-0.445	0	0	0	0.98298	0.99978	0.98938	0	0	0	27395	Mrpl15	chr1
5.28	0.294	-0.366	-0.66	0	0	0	0.99915	0.99858	0.97696	0	0	0	18777	Lypla1	chr1
5	0.372	0.409	0.038	0	0	0	0.99933	0.99909	0.99999	0	0	0	21399	Tcea1	chr1
1.61	-5.487	-5.023	0.464	-17.47	-15.64	0	0	0	0.99685	-1	-1	0	58175	Rgs20	chr1
5.76	-0.814	-1.032	-0.218	0	-0.26	0	0.91596	0.39942	0.99993	0	0	0	108664	Atp6v1h	chr1
6.29	-0.931	-0.316	0.615	0	0	0	0.67542	0.9992	0.98872	0	0	0	12421	Rb1cc1	chr1
5.95	-0.073	0.169	0.242	0	0	0	0.99992	0.99976	0.99969	0	0	0	319263	Pcmtd1	chr1
5.61	1.018	1.319	0.301	0.09	1.59	0	0.46536	0.07552	0.99673	0	0	0	59014	Rrs1	chr1
0.51	-1.318	-1.342	-0.024	-1	-1.1	0	0.17314	0.15139	0.99904	0	0	0	76187	Adhfe1	chr1
3.15	0.856	1.338	0.481	0	1.53	0	0.73556	0.08243	0.97501	0	0	0	17864	Mybl1	chr1
6.1	-0.329	-0.016	0.313	0	0	0	0.99871	0.99998	0.99924	0	0	0	70675	Vcpip1	chr1
2.98	1.57	0.39	-1.18	2.83	0	-0.92	0.01106	0.99534	0.19262	1	0	0	170755	Sgk3	chr1
1.88	1.126	0.106	-1.02	0.65	0	-0.11	0.26843	0.99965	0.45909	0	0	0	620986	Gm6195	NA
3.54	0.369	0.225	-0.144	0	0	0	0.9982	0.99958	0.99979	0	0	0	73824	Snhg6	chr1
6.03	0.057	-0.147	-0.204	0	0	0	0.99999	0.99996	0.99996	0	0	0	26754	Cops5	chr1
4.74	-0.357	-0.009	0.347	0	0	0	0.98541	0.99982	0.98868	0	0	0	211660	Cspp1	chr1
7.7	-0.416	-0.235	0.181	0	0	0	0.99564	0.99904	0.99963	0	0	0	211673	Arfgef1	chr1
-2.18	7.562	10.149	2.588	15.13	20.83	3.15	0	0	0.00687	1	1	0	329093	Cpa6	chr1
2.1	1.001	0.781	-0.22	0	0	0	0.50308	0.65968	0.93064	0	0	0	109294	Prex2	chr1
2.79	3.47	4.187	0.717	8.87	11.15	0	0.00001	0	0.80708	1	1	0	240725	Sulf1	chr1
7.17	-0.246	-0.378	-0.132	0	0	0	0.9999	0.99963	0.99998	0	0	0	17978	Ncoa2	chr1
7.22	-1.034	-0.57	0.463	-0.28	0	0	0.39239	0.99649	0.99934	0	0	0	72265	Tram1	chr1
3.68	-1.125	-1.908	-0.782	-0.63	-4.8	0	0.27178	0.00069	0.87688	0	-1	0	212442	Lactb2	chr1
-0.32	6.585	7.654	1.069	9.14	10.55	0.1	0.00001	0	0.47306	1	1	0	14048	Eya1	chr1
-0.41	-3.091	-5.185	-2.094	-4.2	-8.82	-3.25	0.00154	0.00001	0.00588	-1	-1	0	17681	Msc	chr1
3.38	0.498	0.286	-0.212	0	0	0	0.99381	0.99928	0.99959	0	0	0	21749	Terf1	chr1
1.47	6.998	7.175	0.178	15.85	17.41	0	0	0	0.96828	1	1	0	226866	Sbspon	chr1
8.83	0.013	0.332	0.319	0	0	0	1	0.9997	0.99986	0	0	0	19989	Rpl7	chr1
5.55	0.374	0.676	0.301	0	0	0	0.99277	0.92714	0.99685	0	0	0	98711	Rdh10	chr1
4.52	0.016	0.283	0.267	0	0	0	1	0.99981	0.99987	0	0	0	29819	Stau2	chr1
4.47	0.587	0.621	0.034	0	0	0	0.99173	0.98861	0.99998	0	0	0	66799	Ube2w	chr1
5.65	0.954	0.699	-0.256	0	0	0	0.6248	0.9707	0.99977	0	0	0	67923	Tceb1	chr1
4.09	0.858	0.367	-0.491	0	0	0	0.83436	0.99934	0.99745	0	0	0	70397	Tmem70	chr1
1.4	-1.989	-1.336	0.654	-4.15	-1.39	0	0.00163	0.10106	0.93011	-1	0	0	17087	Ly96	chr1
1.88	0.141	1.713	1.572	0	3.78	3.08	0.9996	0.00271	0.00765	0	1	0	57339	Jph1	chr1
2.02	4.032	5.094	1.062	4.03	5.08	0.07	0.00199	0.00052	0.49612	1	1	0	94227	Pi15	chr1
2.3	4.58	6.314	1.734	10.51	13.23	1.74	0	0	0.06	1	1	0	83691	Crispld1	chr1
6.3	0.379	-0.166	-0.545	0	0	0	0.99697	0.99951	0.9901	0	0	0	21419	Tfap2b	chr1
4.94	2.142	1.557	-0.585	4.33	2.2	0	0.00127	0.02968	0.93003	1	0	0	17215	Mcm3	chr1
1.6	2.345	1.168	-1.178	5.14	0.75	-0.68	0.00045	0.23858	0.25824	1	0	0	74229	Paqr8	chr1
